# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	1.855180e+00	1.855193e+00	1.855186e+00
2000          	wall	1.858384e+00	1.858632e+00	1.858508e+00
3000          	wall	1.858380e+00	1.858645e+00	1.858513e+00
4000          	wall	1.858388e+00	1.858642e+00	1.858513e+00
5000          	wall	1.858384e+00	1.858644e+00	1.858513e+00
6000          	wall	1.858382e+00	1.858645e+00	1.858513e+00
7000          	wall	1.858384e+00	1.858642e+00	1.858513e+00
8000          	wall	1.858387e+00	1.858638e+00	1.858513e+00
