# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	6.048282e-01	6.048334e-01	6.048314e-01
2000          	wall	6.103243e-01	6.105067e-01	6.104179e-01
3000          	wall	6.103526e-01	6.106328e-01	6.105078e-01
4000          	wall	6.103103e-01	6.106215e-01	6.104953e-01
5000          	wall	6.102873e-01	6.106028e-01	6.104941e-01
6000          	wall	6.102783e-01	6.106177e-01	6.104943e-01
7000          	wall	6.102834e-01	6.106317e-01	6.104942e-01
8000          	wall	6.102867e-01	6.106426e-01	6.104942e-01
