# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	2.365048e-01	2.365182e-01	2.365134e-01
2000          	wall	2.211809e-01	2.211818e-01	2.211812e-01
3000          	wall	2.219235e-01	2.219396e-01	2.219321e-01
4000          	wall	2.209416e-01	2.210539e-01	2.210068e-01
5000          	wall	2.213374e-01	2.215387e-01	2.214276e-01
