# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	1.947052e-01	1.947656e-01	1.947347e-01
2000          	wall	1.444052e-01	1.444072e-01	1.444061e-01
3000          	wall	1.467650e-01	1.467657e-01	1.467652e-01
4000          	wall	1.462933e-01	1.462970e-01	1.462952e-01
5000          	wall	1.464377e-01	1.464378e-01	1.464378e-01
