# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	4.519281e-01	4.519560e-01	4.519352e-01
2000          	wall	4.520226e-01	4.521887e-01	4.521279e-01
3000          	wall	4.520227e-01	4.522245e-01	4.521202e-01
4000          	wall	4.520508e-01	4.522347e-01	4.521214e-01
5000          	wall	4.520101e-01	4.522130e-01	4.521208e-01
