# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	4.216710e-03	3.283930e-04	6	8.505270e-02	5.514040e-03	5	false	GAMG	6.305760e-02	5.332010e-04	4	true
44            	smoothSolver	4.170090e-03	3.254920e-04	6	8.479990e-02	7.626790e-03	4	false	GAMG	6.421490e-02	6.140430e-04	4	true
45            	smoothSolver	4.121860e-03	3.224370e-04	6	8.319530e-02	7.749140e-03	4	false	GAMG	6.694500e-02	5.072410e-04	4	true
46            	smoothSolver	4.077590e-03	3.196380e-04	6	8.004980e-02	6.908830e-03	4	false	GAMG	6.560170e-02	5.527700e-04	4	true
47            	smoothSolver	4.034700e-03	3.169570e-04	6	8.165160e-02	7.097640e-03	4	false	GAMG	6.519600e-02	6.249580e-04	4	true
48            	smoothSolver	3.993350e-03	3.143810e-04	6	8.471870e-02	8.182280e-03	4	false	GAMG	7.172570e-02	7.081110e-04	4	true
49            	smoothSolver	3.951170e-03	3.117890e-04	6	8.272520e-02	7.784780e-03	4	false	GAMG	7.170270e-02	4.242960e-04	5	true
50            	smoothSolver	3.910030e-03	3.092070e-04	6	8.305100e-02	7.094550e-03	4	false	GAMG	7.372400e-02	3.914720e-04	5	true
51            	smoothSolver	3.870450e-03	3.067000e-04	6	8.158460e-02	6.006660e-03	4	false	GAMG	7.797920e-02	6.006710e-04	4	true
52            	smoothSolver	3.832580e-03	3.043950e-04	6	7.609760e-02	5.441880e-03	4	false	GAMG	7.934200e-02	7.350320e-04	4	true
53            	smoothSolver	3.796490e-03	3.021200e-04	6	7.620110e-02	5.352730e-03	4	false	GAMG	8.248110e-02	7.231610e-04	4	true
54            	smoothSolver	3.760660e-03	2.999430e-04	6	7.653700e-02	5.250000e-03	4	false	GAMG	8.186840e-02	5.912900e-04	4	true
55            	smoothSolver	3.725360e-03	2.976500e-04	6	7.583780e-02	5.469990e-03	4	false	GAMG	8.266150e-02	7.244900e-04	4	true
56            	smoothSolver	3.693020e-03	2.957140e-04	6	7.902930e-02	5.363490e-03	4	false	GAMG	8.742180e-02	6.536240e-04	4	true
57            	smoothSolver	3.662990e-03	2.939190e-04	6	7.208600e-02	4.823430e-03	4	false	GAMG	8.663740e-02	6.287690e-04	4	true
58            	smoothSolver	3.632230e-03	2.920350e-04	6	7.684960e-02	5.671140e-03	4	false	GAMG	9.301810e-02	5.371630e-04	4	true
59            	smoothSolver	3.602480e-03	2.901380e-04	6	7.642940e-02	5.107840e-03	4	false	GAMG	9.862140e-02	7.867130e-04	4	true
60            	smoothSolver	3.574970e-03	2.884430e-04	6	7.218850e-02	4.714340e-03	4	false	GAMG	9.515680e-02	8.637280e-04	4	true
61            	smoothSolver	3.546730e-03	2.867270e-04	6	7.955170e-02	4.907690e-03	4	false	GAMG	1.155980e-01	8.131810e-04	4	true
62            	smoothSolver	3.520970e-03	2.851080e-04	6	7.734900e-02	7.409900e-03	3	false	GAMG	1.000420e-01	5.437580e-04	4	true
