# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	4.288930e-03	3.341630e-04	6	9.306730e-02	8.502070e-03	4	false	GAMG	6.214300e-02	4.536180e-04	4	true
44            	smoothSolver	4.240830e-03	3.311330e-04	6	9.272730e-02	8.813630e-03	4	false	GAMG	6.266400e-02	4.696660e-04	4	true
45            	smoothSolver	4.192040e-03	3.281570e-04	6	8.708280e-02	7.840960e-03	4	false	GAMG	6.462780e-02	5.618730e-04	4	true
46            	smoothSolver	4.144230e-03	3.251010e-04	6	8.323580e-02	7.183790e-03	4	false	GAMG	6.493000e-02	4.448120e-04	4	true
47            	smoothSolver	4.097860e-03	3.222100e-04	6	8.719310e-02	7.855140e-03	4	false	GAMG	6.582670e-02	4.512750e-04	4	true
48            	smoothSolver	4.053840e-03	3.195200e-04	6	8.619760e-02	7.139480e-03	4	false	GAMG	6.905450e-02	4.812800e-04	4	true
49            	smoothSolver	4.010660e-03	3.169180e-04	6	8.822230e-02	6.478800e-03	4	false	GAMG	6.688120e-02	4.893740e-04	4	true
50            	smoothSolver	3.968760e-03	3.142820e-04	6	8.032600e-02	5.878820e-03	4	false	GAMG	7.055170e-02	4.344240e-04	4	true
51            	smoothSolver	3.927410e-03	3.117060e-04	6	8.325310e-02	6.407740e-03	4	false	GAMG	7.381200e-02	5.741470e-04	4	true
52            	smoothSolver	3.888470e-03	3.092610e-04	6	7.700620e-02	6.064090e-03	4	false	GAMG	7.002630e-02	5.029900e-04	4	true
53            	smoothSolver	3.848210e-03	3.067680e-04	6	8.082580e-02	5.874430e-03	4	false	GAMG	7.914140e-02	4.374620e-04	4	true
54            	smoothSolver	3.811040e-03	3.044730e-04	6	7.998540e-02	6.370550e-03	4	false	GAMG	7.565750e-02	6.283900e-04	4	true
55            	smoothSolver	3.774150e-03	3.022090e-04	6	8.042720e-02	6.605540e-03	4	false	GAMG	8.343360e-02	6.964400e-04	5	true
56            	smoothSolver	3.738850e-03	3.000070e-04	6	7.825610e-02	6.300820e-03	4	false	GAMG	8.896010e-02	8.656420e-04	4	true
57            	smoothSolver	3.707030e-03	2.979780e-04	6	7.991970e-02	6.120130e-03	4	false	GAMG	8.853570e-02	8.440610e-04	4	true
58            	smoothSolver	3.672580e-03	2.958660e-04	6	8.290310e-02	5.421200e-03	4	false	GAMG	8.733540e-02	8.002080e-04	4	true
59            	smoothSolver	3.640670e-03	2.938500e-04	6	7.693990e-02	4.972690e-03	4	false	GAMG	9.284860e-02	4.240350e-04	4	true
60            	smoothSolver	3.610930e-03	2.919650e-04	6	7.593760e-02	5.156780e-03	4	false	GAMG	9.280270e-02	6.583720e-04	4	true
61            	smoothSolver	3.581420e-03	2.901470e-04	6	7.859180e-02	6.462010e-03	4	false	GAMG	1.046600e-01	5.057040e-04	6	true
62            	smoothSolver	3.554300e-03	2.884830e-04	6	7.981440e-02	5.915140e-03	4	false	GAMG	9.673450e-02	8.113830e-04	5	true
63            	smoothSolver	3.528480e-03	2.869470e-04	6	7.871460e-02	5.917990e-03	4	false	GAMG	1.117490e-01	6.898400e-04	5	true
64            	smoothSolver	3.502510e-03	2.853870e-04	6	8.506910e-02	6.248580e-03	4	false	GAMG	1.169110e-01	1.082010e-03	4	true
65            	smoothSolver	3.479940e-03	2.840510e-04	6	7.896440e-02	5.258180e-03	4	false	GAMG	1.019690e-01	7.445810e-04	5	true
66            	smoothSolver	3.456620e-03	2.827010e-04	6	8.007530e-02	5.125260e-03	4	false	GAMG	1.103430e-01	7.283990e-04	4	true
67            	smoothSolver	3.436250e-03	2.814700e-04	6	8.201630e-02	5.822400e-03	4	false	GAMG	1.285730e-01	1.141960e-03	4	true
68            	smoothSolver	3.415160e-03	2.801390e-04	6	8.437910e-02	5.709980e-03	4	false	GAMG	1.318520e-01	8.096640e-04	4	true
69            	smoothSolver	3.394220e-03	2.788550e-04	6	8.088000e-02	5.478840e-03	4	false	GAMG	1.243100e-01	8.217700e-04	4	true
70            	smoothSolver	3.376110e-03	2.777090e-04	6	8.025290e-02	4.950990e-03	4	false	GAMG	1.297890e-01	1.184770e-03	4	true
71            	smoothSolver	3.359050e-03	2.766690e-04	6	7.812210e-02	5.520140e-03	4	false	GAMG	1.309700e-01	1.204610e-03	4	true
72            	smoothSolver	3.341970e-03	2.755790e-04	6	8.320430e-02	5.337120e-03	4	false	GAMG	1.407830e-01	7.522850e-04	4	true
73            	smoothSolver	3.326430e-03	2.746240e-04	6	8.438150e-02	5.851610e-03	4	false	GAMG	1.386600e-01	9.216060e-04	5	true
