# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	3.767739e+01	3.769056e+01	3.768382e+01
2000          	wall	3.043471e+01	3.043486e+01	3.043480e+01
3000          	wall	3.002371e+01	3.002425e+01	3.002393e+01
4000          	wall	3.002431e+01	3.002870e+01	3.002621e+01
5000          	wall	3.000323e+01	3.001156e+01	3.000600e+01
