# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	2.531632e-01	2.532178e-01	2.531934e-01
2000          	wall	2.277554e-01	2.277592e-01	2.277571e-01
3000          	wall	2.277424e-01	2.278573e-01	2.278099e-01
4000          	wall	2.280826e-01	2.283740e-01	2.282154e-01
