# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	3.339185e+01	3.340346e+01	3.339781e+01
2000          	wall	2.896231e+01	2.896237e+01	2.896235e+01
3000          	wall	2.894848e+01	2.894863e+01	2.894855e+01
4000          	wall	2.897502e+01	2.897849e+01	2.897655e+01
5000          	wall	2.892492e+01	2.894681e+01	2.893458e+01
