# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	5.983356e+01	5.983398e+01	5.983374e+01
2000          	wall	5.988005e+01	5.988466e+01	5.988187e+01
3000          	wall	5.992883e+01	5.993118e+01	5.993011e+01
4000          	wall	5.997378e+01	5.999411e+01	5.998159e+01
