# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	4.805990e-03	3.759570e-04	6	2.265750e-01	1.190480e-02	3	false	GAMG	9.760980e-02	7.484040e-04	5	true
44            	smoothSolver	4.759770e-03	3.730270e-04	6	2.094300e-01	1.392610e-02	3	false	GAMG	1.023710e-01	7.915900e-04	4	true
45            	smoothSolver	4.713950e-03	3.700610e-04	6	2.175770e-01	1.524890e-02	3	false	GAMG	1.095440e-01	8.397460e-04	4	true
46            	smoothSolver	4.668800e-03	3.671950e-04	6	1.893420e-01	1.669850e-02	3	false	GAMG	1.153870e-01	7.828490e-04	4	true
47            	smoothSolver	4.626170e-03	3.644270e-04	6	1.963420e-01	1.459840e-02	3	false	GAMG	1.189360e-01	9.258830e-04	4	true
48            	smoothSolver	4.584490e-03	3.618180e-04	6	1.731040e-01	1.418950e-02	3	false	GAMG	1.018950e-01	5.786900e-04	4	true
49            	smoothSolver	4.545020e-03	3.592090e-04	6	1.935260e-01	1.259460e-02	3	false	GAMG	1.088500e-01	1.020050e-03	3	true
50            	smoothSolver	4.503590e-03	3.565300e-04	6	1.855630e-01	1.252100e-02	3	false	GAMG	1.137250e-01	1.108650e-03	4	true
51            	smoothSolver	4.466480e-03	3.540990e-04	6	1.821000e-01	1.248220e-02	3	false	GAMG	1.097120e-01	9.697660e-04	4	true
52            	smoothSolver	4.429230e-03	3.517910e-04	6	1.816710e-01	1.325720e-02	3	false	GAMG	1.312910e-01	9.890750e-04	4	true
53            	smoothSolver	4.392070e-03	3.493690e-04	6	1.791250e-01	1.297230e-02	3	false	GAMG	1.179400e-01	9.187980e-04	5	true
54            	smoothSolver	4.355130e-03	3.470270e-04	6	1.902640e-01	1.476880e-02	3	false	GAMG	1.201700e-01	7.089000e-04	5	true
55            	smoothSolver	4.320050e-03	3.446860e-04	6	1.930740e-01	1.297440e-02	3	false	GAMG	1.282360e-01	1.063510e-03	4	true
56            	smoothSolver	4.285000e-03	3.424660e-04	6	1.829580e-01	1.492670e-02	3	false	GAMG	1.347210e-01	9.159110e-04	4	true
57            	smoothSolver	4.250790e-03	3.401790e-04	6	1.882160e-01	1.622330e-02	3	false	GAMG	1.281370e-01	1.155720e-03	4	true
58            	smoothSolver	4.218070e-03	3.381040e-04	6	1.857330e-01	1.501950e-02	3	false	GAMG	1.292610e-01	7.959810e-04	4	true
59            	smoothSolver	4.186760e-03	3.360790e-04	6	1.863050e-01	1.425060e-02	3	false	GAMG	1.431290e-01	6.465740e-04	4	true
60            	smoothSolver	4.155260e-03	3.340660e-04	6	1.869180e-01	1.345840e-02	3	false	GAMG	1.639210e-01	7.422260e-04	4	true
61            	smoothSolver	4.125130e-03	3.320570e-04	6	1.915090e-01	1.511340e-02	3	false	GAMG	1.387310e-01	1.174990e-03	4	true
62            	smoothSolver	4.095050e-03	3.300580e-04	6	1.738680e-01	1.452760e-02	3	false	GAMG	1.334980e-01	7.827840e-04	5	true
63            	smoothSolver	4.066420e-03	3.281770e-04	6	2.030750e-01	1.538770e-02	3	false	GAMG	1.415440e-01	1.193820e-03	4	true
64            	smoothSolver	4.038470e-03	3.263400e-04	6	1.922250e-01	1.341280e-02	3	false	GAMG	1.461030e-01	1.324070e-03	4	true
65            	smoothSolver	4.011500e-03	3.245710e-04	6	1.778860e-01	1.214090e-02	3	false	GAMG	1.445070e-01	1.096630e-03	5	true
66            	smoothSolver	3.985290e-03	3.228030e-04	6	1.701240e-01	1.336980e-02	3	false	GAMG	1.345540e-01	9.248510e-04	4	true
67            	smoothSolver	3.959420e-03	3.210910e-04	6	1.950670e-01	1.510390e-02	3	false	GAMG	1.519040e-01	1.091120e-03	4	true
68            	smoothSolver	3.935120e-03	3.193850e-04	6	2.002330e-01	1.860870e-02	3	false	GAMG	1.398000e-01	8.665560e-04	5	true
69            	smoothSolver	3.909870e-03	3.176650e-04	6	1.976780e-01	1.801380e-02	3	false	GAMG	1.372120e-01	1.021510e-03	4	true
70            	smoothSolver	3.886360e-03	3.160320e-04	6	2.196800e-01	1.857920e-02	3	false	GAMG	1.614690e-01	1.397980e-03	4	true
71            	smoothSolver	3.863440e-03	3.144510e-04	6	2.244350e-01	1.818510e-02	3	false	GAMG	1.548980e-01	1.252790e-03	5	true
72            	smoothSolver	3.841330e-03	3.129020e-04	6	2.163490e-01	2.039490e-02	3	false	GAMG	1.583070e-01	1.394610e-03	4	true
73            	smoothSolver	3.818030e-03	3.112370e-04	6	2.082010e-01	1.706450e-02	3	false	GAMG	1.438360e-01	9.775700e-04	4	true
74            	smoothSolver	3.796890e-03	3.097640e-04	6	2.133680e-01	1.948760e-02	3	false	GAMG	1.418900e-01	1.268100e-03	5	true
75            	smoothSolver	3.776490e-03	3.082950e-04	6	2.278410e-01	1.773910e-02	3	false	GAMG	1.729060e-01	1.191950e-03	4	true
76            	smoothSolver	3.755420e-03	3.068400e-04	6	2.056490e-01	1.624360e-02	3	false	GAMG	1.542710e-01	1.386740e-03	4	true
77            	smoothSolver	3.735280e-03	3.053450e-04	6	2.104620e-01	1.471170e-02	3	false	GAMG	1.686140e-01	1.420090e-03	5	true
78            	smoothSolver	3.714440e-03	3.038090e-04	6	2.364580e-01	1.885760e-02	3	false	GAMG	1.661090e-01	1.034120e-03	4	true
79            	smoothSolver	3.694650e-03	3.023400e-04	6	2.465710e-01	1.653500e-02	3	false	GAMG	1.661380e-01	1.371650e-03	4	true
80            	smoothSolver	3.675050e-03	3.008940e-04	6	2.374530e-01	1.689740e-02	3	false	GAMG	1.422630e-01	1.169580e-03	4	true
81            	smoothSolver	3.656380e-03	2.995550e-04	6	2.390700e-01	2.034360e-02	3	false	GAMG	1.494160e-01	1.109160e-03	4	true
82            	smoothSolver	3.636860e-03	2.980350e-04	6	2.361900e-01	1.976780e-02	3	false	GAMG	1.452720e-01	1.270070e-03	4	true
83            	smoothSolver	3.617380e-03	2.965660e-04	6	2.654010e-01	1.687140e-02	3	false	GAMG	1.514150e-01	1.287520e-03	4	true
84            	smoothSolver	3.599980e-03	2.952290e-04	6	2.464040e-01	1.865360e-02	3	false	GAMG	1.573350e-01	1.096760e-03	4	true
85            	smoothSolver	3.582160e-03	2.938800e-04	6	2.481540e-01	1.791610e-02	3	false	GAMG	1.747380e-01	1.330180e-03	4	true
86            	smoothSolver	3.562990e-03	2.923800e-04	6	2.501750e-01	1.876140e-02	3	false	GAMG	1.700350e-01	1.231070e-03	4	true
87            	smoothSolver	3.545700e-03	2.910170e-04	6	2.428090e-01	2.104650e-02	3	false	GAMG	1.680640e-01	1.290430e-03	4	true
88            	smoothSolver	3.528120e-03	2.896380e-04	6	2.436560e-01	1.849890e-02	3	false	GAMG	1.566010e-01	1.262780e-03	4	true
89            	smoothSolver	3.510590e-03	2.882630e-04	6	2.335740e-01	1.823470e-02	3	false	GAMG	1.458220e-01	1.243670e-03	4	true
90            	smoothSolver	3.493210e-03	2.869360e-04	6	2.535450e-01	2.110610e-02	3	false	GAMG	1.472920e-01	1.024540e-03	4	true
91            	smoothSolver	3.474080e-03	2.854100e-04	6	2.512030e-01	2.161410e-02	3	false	GAMG	1.483370e-01	1.196020e-03	4	true
92            	smoothSolver	3.457830e-03	2.840410e-04	6	2.680390e-01	2.606090e-02	3	false	GAMG	1.586140e-01	1.407650e-03	5	true
93            	smoothSolver	3.440800e-03	2.827310e-04	6	2.414930e-01	1.886580e-02	3	false	GAMG	1.434640e-01	9.531310e-04	4	true
94            	smoothSolver	3.422580e-03	2.813410e-04	6	2.577450e-01	2.146570e-02	3	false	GAMG	1.760790e-01	1.328960e-03	4	true
95            	smoothSolver	3.406220e-03	2.799550e-04	6	2.729370e-01	2.242490e-02	3	false	GAMG	1.728920e-01	1.428650e-03	4	true
96            	smoothSolver	3.387560e-03	2.784210e-04	6	2.715680e-01	2.479210e-02	3	false	GAMG	1.865330e-01	1.264160e-03	4	true
97            	smoothSolver	3.371470e-03	2.770780e-04	6	2.706490e-01	2.273930e-02	3	false	GAMG	1.696850e-01	1.606240e-03	4	true
98            	smoothSolver	3.353810e-03	2.756160e-04	6	2.778900e-01	2.290240e-02	3	false	GAMG	1.716760e-01	1.028520e-03	5	true
99            	smoothSolver	3.337970e-03	2.742710e-04	6	2.779660e-01	2.093680e-02	3	false	GAMG	1.751350e-01	1.133610e-03	5	true
100           	smoothSolver	3.319670e-03	2.727340e-04	6	2.836030e-01	1.877390e-02	3	false	GAMG	1.627500e-01	1.332060e-03	4	true
101           	smoothSolver	3.300670e-03	2.711870e-04	6	2.627060e-01	1.566900e-02	3	false	GAMG	1.465070e-01	1.023940e-03	4	true
