# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	5.793221e+01	5.793262e+01	5.793241e+01
2000          	wall	5.809815e+01	5.811759e+01	5.810789e+01
3000          	wall	5.809526e+01	5.811851e+01	5.810654e+01
4000          	wall	5.809151e+01	5.812189e+01	5.810665e+01
5000          	wall	5.809081e+01	5.812179e+01	5.810673e+01
