# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	2.968782e-01	2.968821e-01	2.968791e-01
2000          	wall	2.967267e-01	2.967381e-01	2.967310e-01
2376          	wall	2.967256e-01	2.967358e-01	2.967302e-01
