# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	2.857587e-01	2.857643e-01	2.857598e-01
2000          	wall	2.857735e-01	2.857805e-01	2.857763e-01
2108          	wall	2.857702e-01	2.857771e-01	2.857737e-01
