# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall	5.936183e+01	5.936209e+01	5.936199e+01
2000          	wall	5.934778e+01	5.935436e+01	5.935100e+01
3000          	wall	5.934752e+01	5.935459e+01	5.935105e+01
4000          	wall	5.934750e+01	5.935456e+01	5.935096e+01
5000          	wall	5.934777e+01	5.935449e+01	5.935114e+01
6000          	wall	5.934760e+01	5.935434e+01	5.935094e+01
7000          	wall	5.934758e+01	5.935441e+01	5.935097e+01
8000          	wall	5.934766e+01	5.935452e+01	5.935106e+01
